FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
58.000, -1154.138, 0.000, 0.000, 3.405, 3.405, -15.00, 0.00, 0.00, 0.000, 0.000
59.000, -1174.040, 0.000, 0.000, 3.522, 3.522, -15.00, 0.00, 0.00, 0.000, 0.000
60.000, -1193.941, 0.000, 0.000, 3.642, 3.642, -15.00, 0.00, 0.00, 0.000, 0.000
61.000, -1213.842, 0.000, 0.000, 3.763, 3.763, -15.00, 0.00, 0.00, 0.000, 0.000
62.000, -1233.744, 0.000, 0.000, 3.887, 3.887, -15.00, 0.00, 0.00, 0.000, 0.000
63.000, -1253.645, 0.000, 0.000, 4.012, 4.012, -15.00, 0.00, 0.00, 0.000, 0.000
64.000, -1273.546, 0.000, 0.000, 4.139, 4.139, -15.00, 0.00, 0.00, 0.000, 0.000
65.000, -1293.446, 0.000, 0.000, 4.269, 4.269, -15.00, 0.00, 0.00, 0.000, 0.000
66.000, -1313.347, 0.000, 0.000, 4.400, 4.400, -15.00, 0.00, 0.00, 0.000, 0.000
67.000, -1333.248, 0.000, 0.000, 4.533, 4.533, -15.00, 0.00, 0.00, 0.000, 0.000
68.000, -1353.148, 0.000, 0.000, 4.669, 4.669, -15.00, 0.00, 0.00, 0.000, 0.000
69.000, -1373.048, 0.000, 0.000, 4.806, 4.806, -15.00, 0.00, 0.00, 0.000, 0.000
70.000, -1392.949, 0.000, 0.000, 4.945, 4.945, -15.00, 0.00, 0.00, 0.000, 0.000
71.000, -1412.849, 0.000, 0.000, 5.087, 5.087, -15.00, 0.00, 0.00, 0.000, 0.000
72.000, -1432.748, 0.000, 0.000, 5.230, 5.230, -15.00, 0.00, 0.00, 0.000, 0.000
73.000, -1452.648, 0.000, 0.000, 5.375, 5.375, -15.00, 0.00, 0.00, 0.000, 0.000
74.000, -1472.548, 0.000, 0.000, 5.522, 5.522, -15.00, 0.00, 0.00, 0.000, 0.000
75.000, -1492.447, 0.000, 0.000, 5.672, 5.672, -15.00, 0.00, 0.00, 0.000, 0.000
76.000, -1512.346, 0.000, 0.000, 5.823, 5.823, -15.00, 0.00, 0.00, 0.000, 0.000
77.000, -1532.246, 0.000, 0.000, 5.976, 5.976, -15.00, 0.00, 0.00, 0.000, 0.000
78.000, -1552.145, 0.000, 0.000, 6.131, 6.131, -15.00, 0.00, 0.00, 0.000, 0.000
79.000, -1572.043, 0.000, 0.000, 6.289, 6.289, -15.00, 0.00, 0.00, 0.000, 0.000
80.000, -1591.942, 0.000, 0.000, 6.448, 6.448, -15.00, 0.00, 0.00, 0.000, 0.000
